question_id,category,question,A,B,C,D,E,F,G,H,I,J,answer,answer_index
3463,biology,"The checkered pattern of pigeons is controlled by a dominant gene C; plain color is determined by the recessive allele c. Red color is controlled by a dominant gene B, and brown color by the recessive allele b. Complete aPunnett square for adihybridcross involving a homozygous checkered red bird and a plain brown bird. For this cross, show the expected phenotypes, genotypes, genotypic frequencies and phenotypic ratios for the F_2 generation. P: CCBB × ccbb Gametes: (CB) (cb) F_1 × F_1 CcBb × CcBb Gametes (CB) (Cb) (cB) (cb) (CB) CCBB CCBb CcBB CcBb (Cb) CCBb CCbb CcBb Ccbb (cB) CcBB CcBb ccBB ccBb (cb) CcBb Ccbb ccBb Ccbb","Phenotypic ratio: checkered red 6, checkered brown 2, plain red 6, plain brown 2","Phenotypic ratio: checkered red 8, checkered brown 4, plain red 0, plain brown 4","Phenotypic ratio: checkered red 9, checkered brown 3, plain red 3, plain brown 1","Phenotypic ratio: checkered red 1, checkered brown 3, plain red 9, plain brown 3","Phenotypic ratio: checkered red 3, checkered brown 9, plain red 1, plain brown 3","Phenotypic ratio: checkered red 4, checkered brown 4, plain red 4, plain brown 4","Phenotypic ratio: checkered red 12, checkered brown 2, plain red 2, plain brown 0","Phenotypic ratio: checkered red 5, checkered brown 3, plain red 2, plain brown 6","Phenotypic ratio: checkered red 7, checkered brown 5, plain red 1, plain brown 3","Phenotypic ratio: checkered red 2, checkered brown 6, plain red 3, plain brown 1",C,2
2920,biology,Which of the following would most likely describe the fate of a vesicle formed as a result of phagocytosis?,The vesicle remains intact and floats freely in the cytoplasm.,The vesicle merges with a Golgi apparatus.,The vesicle merges with a mitochondrion.,The vesicle fuses with the cell membrane and its contents are expelled out of the cell.,The vesicle breaks down on its own without merging with any other organelle.,The vesicle merges with a lysosome.,The vesicle releases its contents to the cytoplasm to be digested.,The vesicle is absorbed by the endoplasmic reticulum.,"The vesicle is shuttled to the nucleus, and its contents become part of the nucleolus.",The vesicle merges with a peroxisome.,F,5
2830,biology,"A male bacterium conjugates with a female bacterium. After conjugation, the female becomes a male. Account for this ""sexchange"".",The female bacterium becomes a male as a result of nutrient deficiency,The female becomes a male by receiving one copy of the F factor,The female bacterium becomes a male through the process of osmosis,The female bacterium becomes a male through gene mutation,The female bacterium becomes a male after receiving multiple copies of non-F factor genes,The female bacterium becomes a male through binary fission,The female bacterium becomes a male by incorporating a plasmid unrelated to the F factor,The female bacterium becomes a male after exposure to antibiotics,The female bacterium becomes a male due to a viral infection,The female bacterium becomes a male due to environmental factors,B,1
3087,biology,"Contrast the meanings of the terms ""gene pool"" and ""genotype\textquotedblright.","A gene pool is the genetic makeup present in the environment, while a genotype is the genetic makeup that an organism inherits from its parents.","A gene pool is the set of all genes within a single organism, while a genotype refers to the genetic variations among different populations.","A gene pool is the genetic constitution of an individual, while a genotype is the total genetic information in a population.","A gene pool is the collection of genes that predict an organism's phenotype, while a genotype is the combination of alleles that an organism possesses for a single trait.","A genotype is the unique genetic code found within a cell, while a gene pool encompasses the various genotypes that interact within an ecosystem.","Genotype refers to the breeding potential of a population, while a gene pool is the set of all possible genes that can be passed down through reproduction.",A gene pool and genotype both refer to the genetic constitution of an individual.,A gene pool and genotype both refer to the total genetic information in a population.,"A gene pool is the total genetic information in a population, while a genotype is the genetic constitution of an individual.","A gene pool refers to a collection of physical traits in a population, while a genotype is the specific genetic makeup responsible for one particular trait.",I,8
3056,biology,"A scientist carries out a cross between two guinea pigs, both of which have black coats. Black hair coat is dominant over white hair coat. Three quarters of the offspring have black coats, and one quarter have white coats. The genotypes of the parents were most likely",Bb × Bb,BB × BB and Bb × bb,bb × Bb,bb × bb,bb × BB,Bb × bb,Bb × BB,BB × Bb,BB × bb,BB × BB,A,0
3034,biology,Why does milk \textquotedblleftspoil\textquotedblright when kept in a refrigerator?,Enzymatic reactions with oxygen,Lactose crystallization,Loss of refrigeration power over time,mesophiles,Natural separation of milk components without bacterial influence,Acidification from exposure to light,psychrophilic bacteria,thermophiles,chemical reactions,Contamination from other food items,G,6
2948,biology,What is differential reproduction? What factors bring about differential reproduction?,Differential reproduction is the result of equal survival rates for all genotypes within a population,Differential reproduction is driven exclusively by the presence of predators in an ecosystem,Differential reproduction occurs when certain traits prevent any mating from happening,Differential reproduction is when genetic mutations are the only factor influencing which offspring survive,Differential reproduction is purely based on random mating,Differential reproduction is determined solely by the environmental temperature during breeding seasons,Differential reproduction is related to the physical strength of the species,Differential reproduction is when all offsprings have the same genotype,"Differential reproduction occurs when the percentage of viable offspring carrying a certain genotype cannot be accounted for by purely random mating. It results from nonrandom mating, differential fecundity, or differences in zygote viability or offspring fertility.","Differential reproduction occurs when all offspring inherit traits randomly, regardless of parental genotypes",I,8
2910,biology,How can radioactive isotopes be used in biological research such as tracing the pathways of compounds synthesized in the living cell?,"Labeling substance with radioactive isotopes is a powerful method for studying specific metabolic pathways, as well as being applicable to many other areas of biological research.",Radioactive isotopes are used for improving the flavor and texture of food products.,Radioactive isotopes are used to stimulate the immune system in organisms.,Radioactive isotopes are used to increase the oxygen-carrying capacity of blood.,Radioactive isotopes are used to enhance the growth of agricultural crops.,Radioactive isotopes are used as a direct nutrient supplement in animal diets.,Radioactive isotopes are primarily used to create glow-in-the-dark materials for scientific equipment.,Radioactive isotopes are used to provide energy for spacecrafts.,Radioactive isotopes are used to kill cancer cells.,Radioactive isotopes are used for dating archaeological samples.,A,0
3501,biology,What is implied by the theory ofuniformitarianism?,Uniformitarianism indicates that human activity is the primary driver of geological change.,Uniformitarianism posits that the earth is static and unchanging over time.,Uniformitarianism implies rapid geological changes.,Uniformitarianism suggests that the same geological processes observed today did not operate in the past.,Uniformitarianism infers that geological processes occur exclusively during catastrophic events.,"Uniformitarianism asserts that the earth's geological features were formed in a single, divine creation event.",Uniformitarianism implies that animals and plants continually undergo a process of organic evolution and that the earth must be much older than a few thousand years.,Uniformitarianism assumes that the rate of geological change is unpredictable and chaotic.,Uniformitarianism states that geological forces have changed over time.,Uniformitarianism suggests the earth is only a few thousand years old.,G,6
3367,biology,An inexperienced nurse measures the blood pressure in the artery of the upper arm of a man. She then measures the blood pressure in the artery of the man's leg. The nurse obtains a different value. Why?,The man's leg has a different heart rate,The arm and leg measurements differ because of a temporary blockage in the leg artery,The blood pressure decreases as the blood moves further away from the heart,The different readings are due to the man's varying stress levels,"The man was standing during the leg measurement, affecting the result","The leg artery was constricted, leading to a higher reading",The blood pressure is always the same in all parts of the body,The nurse made a measurement error,The blood pressure is higher in the leg due to increased muscle activity,The leg artery naturally has higher pressure due to gravity,C,2
