prompt,id,question,annotations,ambiguous
Who plays the doctor in dexter season 1?,-807825952267713091,Who plays the doctor in dexter season 1?,"{'type': array(['singleAnswer'], dtype=object), 'answer': array([array(['Tony Goldwyn', 'Goldwyn'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
How often does spermatogeneis—the production of sperm—occur?,8266116451988110240,How often does spermatogeneis—the production of sperm—occur?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['usually continues uninterrupted until death'], dtype=object),
       array(['constant', 'usually continues uninterrupted until death'],
             dtype=object)                                               ],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When was the first remote control tv invented?,7336174019902289593,When was the first remote control tv invented?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['1950'], dtype=object), array(['1950'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Why did the st louis cardinals move to arizona?,8630912480840635425,Why did the st louis cardinals move to arizona?,"{'type': array(['singleAnswer', 'multipleQAs'], dtype=object), 'answer': array([array(['mediocrity of the Cardinals,a then-21-year-old stadium,game attendance to dwindle'],
             dtype=object)                                                                         ,
       array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array(['What ability caused the st louis cardinals move to arizona?',
              'What physical issue caused the st louis cardinals move to arizona?',
              'What fan issue caused the st louis cardinals move to arizona?'],
             dtype=object), 'answer': array([array(['overall mediocrity of the Cardinals'], dtype=object),
              array(['old stadium'], dtype=object),
              array(['game attendance to dwindle'], dtype=object)], dtype=object)}                        ],
      dtype=object)}",True
How many episodes are in season 2 of chesapeake shores?,9187719029377880470,How many episodes are in season 2 of chesapeake shores?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['10'], dtype=object), array(['10'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
When was the first airline meal served during a flight?,-6975273415196871312,When was the first airline meal served during a flight?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['1919'], dtype=object),
       array(['October of that year', 'October 1919'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Who is the current chairman of african union commission?,5780388869788119926,Who is the current chairman of african union commission?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who is the 4th chairman of african union commission?',
              'Who is the 3rd chairman of african union commission?',
              'Who is the 2nd chairman of african union commission?'],
             dtype=object), 'answer': array([array(['Moussa Faki', 'Moussa Faki Mahamat'], dtype=object),
              array(['Nkosazana Clarice Dlamini-Zuma', 'Nkosazana Dlamini-Zuma'],
                    dtype=object)                                                ,
              array(['Jean Ping'], dtype=object)], dtype=object)}                                        ,
       {'question': array(['Who became the chairman of african union commission in 2017?',
              'Who became the chairman of african union commission in 2012?',
              'Who became the chairman of african union commission in 2008?'],
             dtype=object), 'answer': array([array(['Moussa Faki', 'Moussa Faki Mahamat'], dtype=object),
              array(['Nkosazana Clarice Dlamini-Zuma', 'Nkosazana Dlamini-Zuma', 'NDZ'],
                    dtype=object)                                                       ,
              array(['Jean Ping'], dtype=object)], dtype=object)}                                        ],
      dtype=object)}",True
Who won the final hoh big brother 20?,-962065981949449467,Who won the final hoh big brother 20?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who won the Final HoH in the American reality show Big Brother 20?',
              'Who won the final vote in the British reality show Celebrity Big Brother 20?'],
             dtype=object), 'answer': array([array(['Kaycee Clark'], dtype=object),
              array(['Sarah Harding'], dtype=object)], dtype=object)}                           ],
      dtype=object)}",True
Who is the prime minister of england 2018?,7047651726317069852,Who is the prime minister of england 2018?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['Theresa May'], dtype=object),
       array(['Theresa Mary May', 'Theresa May'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
How long do contestants get to answer on jeopardy?,-6301642079833452476,How long do contestants get to answer on jeopardy?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['How long do contestants get to answer a typical question on jeopardy?',
              'How long do contestants get to answer a final jeopardy question on jeopardy?',
              ""How long do contestants get to answer on jeopardy's online test?""],
             dtype=object), 'answer': array([array(['five seconds'], dtype=object),
              array(['30 seconds'], dtype=object),
              array(['15 seconds'], dtype=object)], dtype=object)}                                 ,
       {'question': array(['How long do contestants have to answer during the first two rounds of Jeopardy!?',
              'How long do contestants have to answer during the last round of Jeopardy!?'],
             dtype=object), 'answer': array([array(['5 seconds'], dtype=object),
              array(['30 seconds'], dtype=object)], dtype=object)}                                            ],
      dtype=object)}",True
Who took control of the italian government in 1922?,-196855123397981737,Who took control of the italian government in 1922?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What party took control of the Italian government in 1922?',
              'What leader took control of the Italian government in 1922?',
              'What faction took control of the Italian government in 1922?'],
             dtype=object), 'answer': array([array(['National Fascist Party'], dtype=object),
              array(['Benito Mussolini'], dtype=object),
              array(['Italian fascists'], dtype=object)], dtype=object)}                     ,
       {'question': array(['Who is the party that took control of the italian government in 1922?',
              'Who is the prime minister that took control of the italian government in 1922?'],
             dtype=object), 'answer': array([array(['National Fascist Party', 'PNF', 'Partito Nazionale Fascista'],
                    dtype=object)                                                   ,
              array(['Benito Mussolini', 'Benito Amilcare Andrea Mussolini'],
                    dtype=object)                                            ],
             dtype=object)}                                                                                        ],
      dtype=object)}",True
When was the last time the us had a budget surplus?,-2679834896038341541,When was the last time the us had a budget surplus?,"{'type': array(['singleAnswer', 'singleAnswer'], dtype=object), 'answer': array([array(['2001', 'fiscal year 2001'], dtype=object),
       array(['2001 fiscal year'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",False
Where was 'top of the lake' filmed?,3015237958274673918,Where was 'top of the lake' filmed?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([""Where was season 1 of  'top of the lake' filmed almost entirely?"",
              ""Where were the scenes in the women's commune in season 1 of 'top of the lake' filmed?"",
              ""Where was season 2 of 'top of the lake' filmed?""], dtype=object), 'answer': array([array(['Glenorchy',
                     'Queenstown and Glenorchy, in Otago, on the South Island of New Zealand',
                     'Queenstown'], dtype=object)                                             ,
              array(['Moke Lake', 'Closeburn, Queenstown, South Island'], dtype=object),
              array(['Sydney, Australia'], dtype=object)], dtype=object)}                                            ,
       {'question': array([""Where was the original 'top of the lake' filmed except for the women's commune?"",
              ""Where was the original 'top of the lake' filmed for the women's commune?"",
              ""Where was 'top of the lake: China Girl' filmed?""], dtype=object), 'answer': array([array(['Queenstown and Glenorchy', 'Queenstown and Glenorchy, in Otago'],
                    dtype=object)                                                      ,
              array(['Moke Lake'], dtype=object),
              array(['Sydney', 'Sydney, Australia'], dtype=object)], dtype=object)}                                                                                        ],
      dtype=object)}",True
How many seconds do you have to throw a grenade?,-4837453704802656318,How many seconds do you have to throw a grenade?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['How many seconds did you have to throw the first World War I fragmentation grenades?',
              'How many seconds did you have to throw the updated World War I fragmentation grenades?',
              'How many seconds did you have to throw a WWI stick grenade?',
              'How many seconds do you have to throw a US ET-MP grenade?'],
             dtype=object), 'answer': array([array(['seven'], dtype=object), array(['four'], dtype=object),
              array(['five'], dtype=object),
              array(['user-settable timed electronic fuze'], dtype=object)],
             dtype=object)}                                                                                       ,
       {'question': array(['How many seconds was the delay of the Mills bomb grenade before explosion prior to 1940?',
              'How many seconds was the delay of the Mills bomb grenade before explosion after 1940?',
              'How seconds was the delay of WWII era thermite?'], dtype=object), 'answer': array([array(['7'], dtype=object), array(['4'], dtype=object),
              array(['2'], dtype=object)], dtype=object)}                                                                                                ],
      dtype=object)}",True
How many jimmy john's are there in the world?,2162316589148294435,How many jimmy john's are there in the world?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array([""How many jimmy john's are there in the world as of October 2018?"",
              ""How many jimmy john's are there in the world in 2010?"",
              ""How many jimmy john's are there in the world in 2007?"",
              ""How many jimmy john's are there plans for in the world?""],
             dtype=object), 'answer': array([array(['more than 2,800', 'almost 3,000'], dtype=object),
              array(['thousand'], dtype=object),
              array(['five-hundred'], dtype=object),
              array(['5,000 and beyond'], dtype=object)], dtype=object)}                              ],
      dtype=object)}",True
Who defeated the new york jets on the first televised monday night football game?,-8051512657544725299,Who defeated the new york jets on the first televised monday night football game?,"{'type': array(['singleAnswer', 'multipleQAs'], dtype=object), 'answer': array([array(['Cleveland Browns'], dtype=object), array([], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array([], dtype=object), 'answer': array([], dtype=object)},
       {'question': array(['Who was the team who defeated the new york jets on the first televised monday night football game?',
              'Who was the coach defeated the new york jets on the first televised monday night football game?'],
             dtype=object), 'answer': array([array(['Cleveland Browns'], dtype=object),
              array(['Blanton Collier'], dtype=object)], dtype=object)}                                                         ],
      dtype=object)}",True
When is episode 113 of dragon ball super coming out?,-3766268167311659635,When is episode 113 of dragon ball super coming out?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['When is episode 113 of dragon ball super coming out for its original airdate?',
              'When is episode 113 of dragon ball super coming out for its american airdate?'],
             dtype=object), 'answer': array([array(['October 29, 2017'], dtype=object),
              array(['June 1, 2019'], dtype=object)], dtype=object)}                                       ,
       {'question': array(['When is episode 113 of dragon ball super coming out originally?',
              'When is episode 113 of dragon ball super coming out in America?'],
             dtype=object), 'answer': array([array(['October 29, 2017'], dtype=object),
              array(['June 1, 2019'], dtype=object)], dtype=object)}                         ],
      dtype=object)}",True
Who is the longest serving manager in the premier league?,-4367972975692363418,Who is the longest serving manager in the premier league?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who is the longest serving manager in the premier league of all time in terms of time?',
              'Who is the longest serving manager in the premier league of all time in terms of number of games?'],
             dtype=object), 'answer': array([array(['Alex Ferguson', 'FErguson'], dtype=object),
              array(['Arsène Wenger', 'Wenger'], dtype=object)], dtype=object)}                                     ],
      dtype=object)}",True
Who sang i fooled around and fell in love?,5818337347612986915,Who sang i fooled around and fell in love?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who sang i fooled around and fell in love in 1976?',
              'Who sang i fooled around and fell in love in 1985?'], dtype=object), 'answer': array([array(['Mickey Thomas'], dtype=object),
              array(['T. G. Sheppard', 'William Neal Browder'], dtype=object)],
             dtype=object)}                                                                                                                 ],
      dtype=object)}",True
Who the female singer on gimme shelter?,1079593365333531395,Who the female singer on gimme shelter?,"{'type': array(['multipleQAs', 'singleAnswer'], dtype=object), 'answer': array([array([], dtype=object),
       array(['Merry Clayton', 'Clayton'], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who was the female singer on the recorded version of Gimme Shelter?',
              'Who was the female singer on Gimme Shelter on tour?'],
             dtype=object), 'answer': array([array(['Merry Clayton'], dtype=object),
              array(['Lisa Fischer'], dtype=object)], dtype=object)}                             ,
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",True
When was the commission fir sc/st established?,-7824075627194227170,When was the commission fir sc/st established?,"{'type': array(['multipleQAs', 'singleAnswer'], dtype=object), 'answer': array([array([], dtype=object), array(['August 1978'], dtype=object)],
      dtype=object), 'qaPairs': array([{'question': array(['When was the first commission of any type for sc/st established?',
              'When was the first national commission for sc/st?'], dtype=object), 'answer': array([array(['August 1978'], dtype=object),
              array(['2004'], dtype=object)], dtype=object)}                                                                             ,
       {'question': array([], dtype=object), 'answer': array([], dtype=object)}],
      dtype=object)}",True
What do the symbols on the indian flag represent?,1113020886859672264,What do the symbols on the indian flag represent?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What does the wheel symbol on the indian flag represent?',
              'What does the saffron stripe symbol on the indian flag represent?',
              'What does the white stripe symbol on the indian flag represent?',
              'What does the green stripe symbol on the indian flag represent?',
              'What did the eight lotus symbols on the calcutta indian flag represent?'],
             dtype=object), 'answer': array([array(['Dharma Chakra', 'edicts of Ashoka', 'Ashoka Chakra'], dtype=object),
              array(['courage and sacrifice'], dtype=object),
              array(['peace and truth'], dtype=object),
              array(['faith and chivalry'], dtype=object),
              array(['the eight provinces'], dtype=object)], dtype=object)}                                              ,
       {'question': array(['What does the symbol in the center of the indian flag represent?',
              'What do the first 12 spokes on the symbol in the center of the indian flag represent?',
              'What do the second 12 spokes on the symbol in the center of the indian flag represent?',
              'What does the saffron stripe on the indian flag represent?',
              'What does the white stripe on the indian flag represent?',
              'What does the green stripe on the indian flag represent?'],
             dtype=object), 'answer': array([array(['Dharma Chakra', 'Wheel of the Law'], dtype=object),
              array(['twelve causal links', '12 stages of suffering'], dtype=object),
              array(['no cause no effect'], dtype=object),
              array(['courage and sacrifice'], dtype=object),
              array(['peace and truth'], dtype=object),
              array(['faith and chivalry'], dtype=object)], dtype=object)}                              ],
      dtype=object)}",True
Where is the stern of a boat located?,5304602737964517067,Where is the stern of a boat located?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Where is the stern of a boat located according to the 2020 definition?',
              'Where is the stern of a boat located according to the original definition?'],
             dtype=object), 'answer': array([array(['aft-most part', 'area built up over the sternpost',
                     'opposite the bow', 'back'], dtype=object)          ,
              array(['aft port', 'aft port section of the ship'], dtype=object)],
             dtype=object)}                                                                             ,
       {'question': array(['Where is the stern of a boat located colloquially?',
              'Where is the stern of a boat located technically?'], dtype=object), 'answer': array([array(['back or aft-most part', 'aft', 'back'], dtype=object),
              array(['area built up over the sternpost',
                     'area built up over the sternpost, extending upwards from the counter rail to the taffrail'],
                    dtype=object)                                                                                 ],
             dtype=object)}                                                                                                                                       ],
      dtype=object)}",True
Who is the administrator of the small business administration?,-1703843779501228505,Who is the administrator of the small business administration?,"{'type': array(['multipleQAs', 'multipleQAs'], dtype=object), 'answer': array([array([], dtype=object), array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['Who is the administrator of the small business administration from 2017 to 2019?',
              'Who is the administrator of the small business administration from January 2017 to February 2017?',
              'Who is the administrator of the small business administration from 2014 to 2017?'],
             dtype=object), 'answer': array([array(['Linda McMahon', 'Linda Marie McMahon'], dtype=object),
              array(['Joseph Loddo'], dtype=object),
              array(['Maria Contreras-Sweet'], dtype=object)], dtype=object)}                                     ,
       {'question': array(['Who is the administrator of the small business administration, starting on Feburary 14, 2017?',
              'Who is the administrator of the small business administration, starting on January 20, 2017?',
              'Who is the administrator of the small business administration, starting on April 7, 2014?'],
             dtype=object), 'answer': array([array(['Loddo', 'Joseph Loddo'], dtype=object),
              array(['Loddo', 'Joseph Loddo'], dtype=object),
              array(['Maria Contreras-Sweet', 'Contreras-Sweet'], dtype=object)],
             dtype=object)}                                                                                                ],
      dtype=object)}",True
What is the tallest ride at six flags over texas?,-1082244901275608711,What is the tallest ride at six flags over texas?,"{'type': array(['multipleQAs'], dtype=object), 'answer': array([array([], dtype=object)], dtype=object), 'qaPairs': array([{'question': array(['What is the tallest roller coaster at six flags over texas 2001?',
              'What is the tallest wooden roller coaster at six flags over texas in 2011?',
              'What is the tallest wooden roller coaster at six flags over texas in 1990?',
              'What is the tallest swing ride at six flags over texas?',
              'What is the tallest triple drop tower ride at six flags over texas?'],
             dtype=object), 'answer': array([array(['The Titan'], dtype=object),
              array(['The New Texas Giant'], dtype=object),
              array(['The Texas Giant'], dtype=object),
              array(['Texas SkyScreamer'], dtype=object),
              array(['Superman: Tower of Power'], dtype=object)], dtype=object)}              ],
      dtype=object)}",True
