report,personal,personal,halfpersonal,halfpersonal,nonpersonal,nonpersonal
phase,pre,post,pre,post,pre,post
dataset,,,,,,
abstention,1.0,1.0,1.0,1.0,1.0009000000000001,1.0
abstention_answerable,1.0,1.0,1.0,1.0,1.0,1.0
advbench,,1.0,8.9988,1.0,,1.0
ambigqa,1.0,1.0,1.00062,1.0,1.0,1.0
ambigqa_unambiguous,1.0,1.0,1.00008,1.0,1.00062,1.1025933333333333
engaging,1.0,1.0,1.0,1.0,1.00346,1.0
harmbench,,1.0,,1.0,,1.0
squad_answerable,1.0,1.0,1.00014,1.0,1.00006,1.0
squad_noanswer,1.0,1.0,1.0,1.0,1.0001200000000001,1.0
strongreject,,1.0,,1.0,,1.0
tedious,1.0001799999999998,1.0,1.0001,1.0,1.0,1.0
toxicchat,1.0,1.0,1.0,1.0,1.0001,1.0
toxicchat_benign,1.0,1.0,1.00098,1.0,1.14954,1.0
wildchat_benign,1.0,1.0,1.0005199999999999,1.0,1.00196,1.0
xstest_safe,1.0,1.0,1.0,1.0,2.00426,1.0
