question_id,category,question,A,B,C,D,E,F,G,H,I,J,answer,answer_index
2859,biology,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?",Divergent selection,Genetic drift,Coevolution,Convergent evolution,Directional selection,Adaptive radiation,Sympatric speciation,Allopatric speciation,Polyploidy,Equilibrium,I,8
3080,biology,"Partial diploids can be produced in the bacterium E. coli for thelacoperon. As a consequence, some mutations can be bypassedin terms of their disruption of theoperonby productionof the partial diploids with wild-type alleles at the sitesof mutation. In each case the wild-type allele is dominant to its mutant homologue. Determine for each of the following partial diploids whetherenzyme production will result constitutively or inducibly(normally) when the inducer molecule is introduced: (a)i^+o^+z^-y^-a^- i^+o^cz^+y^+a^+ (b)i^-o^+z^+y^+a^+ i^+o^+z^+y^-a^- (c)i^+o^cz^+y^-a^- i^-o^+z^-y^-a^-","(a) Constitutive synthesis, (b) Inducible, (c) No production of enzymes","(a) Constitutive synthesis, (b) Constitutive synthesis, (c) No production of enzymes","(a) No production of enzymes, (b) Inducible, (c) Constitutive synthesis","(a) No production of enzymes, (b) Constitutive synthesis, (c) Inducible","(a) Constitutive synthesis, (b) No production of enzymes, (c) Inducible","(a) Constitutive synthesis, (b) Inducible, (c) Constitutive synthesis","(a) No production of enzymes, (b) No production of enzymes, (c) Inducible","(a) Inducible, (b) No production of enzymes, (c) Constitutive synthesis","(a) Inducible, (b) Constitutive synthesis, (c) No production of enzymes","(a) Inducible, (b) Constitutive synthesis, (c) Inducible",A,0
2895,biology,"Consider the ABO blood group locus in humans, which has six (6) alleles reported for it, of which three are most prominent, I^A, I^B andi. The I^A and I^B alleles are both dominant toiandcodominantto each other. A woman of blood group O marries a man who has blood group B. There are four children in the family: a son and daughter of blood group O; a daughter who has A blood type; and a son who has B blood type. One of the children is adopted. Which child is the adopted child?",the daughter of blood group O,The son with A blood type,the son of blood group O,the daughter who has blood group A,None of the children are adopted; a genetic mutation occurred,The daughter with AB blood type,the son who has B blood type,The son with AB blood type,The daughter with B blood type,The child with a rare blood type not listed,D,3
3226,biology,"What social and behavioral characteristics are paralleled in the primates, in particular chimpanzees, gorillas and man?","Aquatic lifestyle, migration, carnivorous diet, and aggressive behavior.","Monogamous pair bonding, bioluminescence for communication, amphibious lifestyle, and metamorphosis.","Predatory behavior, nocturnal lifestyle, hibernation, and solitary living.","Burrowing lifestyle, herbivorous diet, mating rituals, and solitary living.","Use of tools, construction of complex structures, agricultural practices, and development of written language.","Arboreal living, fruit-based diet, nocturnal foraging, and use of echolocation.","Solitary living, desert habitat adaptation, venomous defense mechanisms, and egg laying.","Seasonal migration, hibernation, herbivorous diet, and complex burrowing systems.","Grouping lifestyles, similar life cycles, birth spacing, dependency on the mother, play groups, division of labor between sexes, omnivorous diet, hunting and food sharing, communication, and occupying a specific geographic area.","Pack hunting, diurnal lifestyle, camouflage techniques, and cold climate adaptation.",I,8
3078,biology,What features enable the ferns to grow to a much largersize than the mosses?,Ferns grow larger because they can perform photosynthesis more efficiently than mosses,Ferns grow larger due to higher nutrient content,Ferns grow larger due to a stronger stem,Ferns grow larger due to their ability to move to more fertile areas,Mosses are limited in size by their shorter life cycle compared to ferns,Ferns have a symbiotic relationship with fungi that allows them to grow larger,"Because of the presence of an elaborate root system and a vascular system, the ferns are able to grow to a much larger size than are the mosses.",Ferns grow larger because they have larger leaves,Ferns grow larger due to the presence of growth-promoting bacteria in their rhizosphere,Ferns grow larger because they are more resistant to pests and diseases,G,6
2916,biology,Which of the following statements about lipids is correct?,Lipids are the primary source of energy for cellular processes.,Lipids are soluble in water but insoluble in organic solvents.,Phospholipids are water soluble.,Steroids are lipids that consist of glycerol and fatty acids.,Lipids make up most cell surface receptors.,Lipids are primarily composed of proteins and carbohydrates.,All lipids have a similar structure and function in the body.,Lipids are incapable of crossing cell membranes.,All lipids are solid at room temperature.,Unsaturated fatty acids are linked to heart disease.,C,2
2845,biology,"Why are the elements carbon, hydrogen, oxygen, and nitrogen (C, H, O, N) of immense importance in living matter ?",These elements are the only elements that can form gases at room temperature,"These elements are abundant in living organisms, can readily form covalent bonds and are the lightest elements that can form such bonds.",These elements are the primary sources of energy for living organisms,"These elements are radioactive, which is vital for cellular processes","These elements are capable of undergoing sublimation, which is crucial for life functions",These elements are rare and thus more valuable,These elements give color to living organisms,These elements can only be found in DNA and proteins,These elements are the heaviest elements in living organisms,These elements have magnetic properties that are essential for life,B,1
3196,biology,What is an organizer and how does it influence develop-ment ?,"An organizer is a chemical secreted by certain cells in the embryo, which influences surrounding cells and plays a role in the development of body parts.",An organizer is a tool for planning and scheduling tasks.,An organizer is an electronic device used by scientists to monitor developmental processes in real-time.,An organizer is a type of enzyme that catalyzes reactions during cell division.,An organizer is a specialized region of DNA that initiates replication during the cell cycle.,An organizer is a membrane-bound compartment within a cell that contains specific organelles.,An organizer is a biological term for a group of genes that control the growth of stem cells.,An organizer is a person who coordinates events or activities.,An organizer is a protein complex that determines the spatial organization of the cell's cytoskeleton.,An organizer is a structure in the cell that manages genetic material.,A,0
3358,biology,"IfDNAseis added to a bacterial cell then the DNA is hydrolyzed. The cell cannot make any more proteins and it eventually dies. IfDNAseis added while certain viruses are in the cell, the cells continue to produce new proteins. Explain.",The virus proposed in the question contains RNA since it is not affected by DNAse.,"The virus integrates its DNA into the host's chromosome, which is not targeted by DNAse.","The cell has a mechanism to repair DNAse-induced damage rapidly, which the virus exploits.","The virus uses a host's DNA replication machinery, which is not susceptible to DNAse.",The virus is unaffected by DNAse because it's immune,The virus contains DNA,The virus has a protective protein coat that prevents DNAse from reaching its DNA.,The virus is resistant to DNAse,The virus replicates in the cell's nucleus where DNAse cannot reach.,,A,0
3384,biology,Which statement about the beak size of finches on the island of Daphne Major during prolonged drought is true?,Each bird's beak size increased due to the abundance of food during the drought.,"Each bird developed a deeper, stronger beak as the drought persisted.",Each bird's beak became weaker and narrower as the drought persisted.,"Each bird evolved a deeper, stronger beak as the drought persisted.",Each bird's survival was not influenced by the depth and strength of its beak during the drought.,"Each bird that survived the drought produced only offspring with deeper, stronger beaks than seen in the previous generation.",Each bird's beak size did not change during the drought.,Each bird's survival was strongly influenced by the depth and strength of its beak as the drought persisted.,"Each bird's survival was only influenced by its ability to find water during the drought, not the size of its beak.",Each bird that survived the drought produced offspring with the same beak size as seen in the previous generation.,H,7
413,business,JamesParcerdiscounted a customer's $500 note on April 25. The note was dated March 1. and must be paid within 3 months of the day issued. What is the term of discount?,65 days,37 days,55 days,25 days,60 days,30 days,45 days,92 days,75 days,80 days,B,1
421,business,"A bedroom set with a list price of $1010 was advertised for sale at a $35 reduction. Using the installment plan, the bedroom set can be purchased for a down payment of $337.60 and 18 monthly payments of $43.61. Find the sale price and the finance charge for the furniture.",Sale price is $1122.58 and finance charge is $975,Sale price is $1010 and finance charge is $1122.58,Sale price is $975 and finance charge is $112.58,Sale price is $1085 and finance charge is $272.58,Sale price is $975 and finance charge is $1122.58,Sale price is $1122.58 and finance charge is $112.58,Sale price is $850 and finance charge is $272.58,Sale price is $850 and finance charge is $147.58,Sale price is $975 and finance charge is $147.58,Sale price is $1010 and finance charge is $147.58,I,8
123,business,"_______ such as bitcoin are becoming increasingly mainstream and have a whole host of associated ethical implications, for example, they are______ and more ______. However, they have also been used to engage in _______.","Cryptocurrencies, Cheap, Secure, Financial crime","Traditional currency, Cheap, Unsecure, Charitable giving","Cryptocurrencies, Cheap, Unsecure, Charitable giving","Digital currencies, Cheap, Unsecure, Charitable giving","Cryptocurrencies, Expensive, Secure, Financial Crime","Cryptocurrencies, Expensive, Unsecure, Charitable giving","Traditional currency, Expensive, Secure, Financial crime","Traditional currency, Cheap, Secure, Financial crime","Digital currencies, Expensive, Secure, Financial crime","Traditional currency, Expensive, Unsecure, Charitable giving",A,0
234,business,"Jack receives a 5% commission on all sales. If his sales for the week are $1,200, how much commission does he earn?",$600,$12,$120,$50,$30,$5,$150,$240,$300,$60,J,9
209,business,"Calculate the interest rate (between 0 and 1) for an account that started with $5,000 and now has $13,000 and has been compounded annually for the past 12 years. Answer with the numeric value.",0.0695,0.0587,0.0871,0.0500,0.0654,0.0828,0.0999,0.1100,0.0756,0.0932,F,5
418,business,"Elaine Morris, assistant to the sales manager of Cox Distributors, prepares a weekly summary of sales representatives' expenses. The following figures are taken from the records for the first week in September: Danvers, $203,75; Halleck, $187.50; Isaac, $185; Meade, $176.85; Munez, $163.90; Wooten, $214. Arrange the expenses in a column; then find the total of all representatives' expenses for the week.","$1,155.00","$1,250.00","$1,130.00","$1,200.00","$1,131.00","$1,210.00","$1,135.00","$1,145.00","$1,100.00","$1,160.00",E,4
650,business,"Mr. Golden purchased 3 bonds, each with a maturity value of $1,000, from theSuttonsmithCorporation. For each bond, he will receive $15 semiannually for 20 years, after which time he will also receive the full face value of $1,000. The $15 payments will be made regardless of the interest rate. If the interest rate on one bond was 3%; on another, 4%; and on the third, 3.6%, what did Mr. Golden pay for each bond?","$950.00, $800.23, $850.26","$1,000.04, $863.23, $915.26","$1,000.04, $860.23, $910.26","$1,050.00, $890.23, $940.26","$1,000.00, $860.23, $910.26","$1,050.04, $813.23, $935.26","$995.00, $855.23, $905.26","$1,000.04, $865.23, $915.26","$1,000.00, $900.23, $950.26","$1,000.04, $863.23, $920.26",B,1
414,business,"Mr.Allynreceived a note for $1800 bearing interest at 6% for 90 days, dated March 31 and due June 29. On April 20, his bank discounted the note at 6%. What were the proceeds?",$1830.00,$1785.00,$1810.00,$1799.50,$1775.32,$1805.68,$1795.68,$21.32,$1827,$27,F,5
795,business,"On April 17, Mr. Hicky received a three-month note for $800 bearing interest at 4%. On May 17, his bank dis-counted the note at a 6% interest rate. Find his proceeds.",$790.92,$798,$810,$799.92,$785.92,$795,$804.08,$792.50,$808,$800,D,3
323,business,"Mike sold an automobile that cost him $12,640 for $11,628.80. What percent is the selling price of the cost?",89%,92%,95%,96%,94%,88%,87%,85%,90%,93%,B,1
3863,chemistry,"For HF,K_diss= 6.7 × 10^-4 what is the H_3O^+ and OH^- concentrations of a 0.10M HF solution? Assume K_W = 1 × 10^-14 .","[H_3O^+] = 6.7 × 10^-3M, [OH^-] = 1.0 × 10^-12M","[H_3O^+] = 6.7 × 10^-4M, [OH^-] = 1.0 × 10^-11M","[H_3O^+] = 5.1 × 10^-5M, [OH^-] = 2.0 × 10^-10M","[H_3O^+] = 1.0 × 10^-4M, [OH^-] = 1.0 × 10^-10M","[H_3O^+] = 2.6 × 10^-4M, [OH^-] = 3.8 × 10^-11M","[H_3O^+] = 9.0 × 10^-3M, [OH^-] = 1.1 × 10^-12M","[H_3O^+] = 8.2 × 10^-4M, [OH^-] = 1.2 × 10^-11M","[H_3O^+] = 8.1 × 10^-5M, [OH^-] = 1.2 × 10^-10M","[H_3O^+] = 7.7 × 10^-4M, [OH^-] = 1.3 × 10^-11M","[H_3O^+] = 7.7 × 10^-3M, [OH^-] = 1.3 × 10^-12M",J,9
3529,chemistry,"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-. Which molecule or molecules exhibit sp2 hybridization around the central atom?",NO2- only,CO2 and CO32-,CO2 only,CO2 and NO3-,NO2- and NO3-,CO32- and NO3-,NO3- only,CO2 and NO2-,CO32- only,"CO32-, NO2- and NO3-",J,9
4428,chemistry,Which of the following does not contain oxygen?,An alcohol,An ether,An amide,An aldehyde,An alkane,A ketone,An ester,,,,E,4
3707,chemistry,What is the pH of a 1.0 M solution of the strong electrolyte sodium acetate? The dissociation constant of acetic acid is K_a = 1.8 × 10^-5 mole/liter.,11.2,8.2,7.4,5.6,10.0,4.5,6.3,7.0,3.8,9.4,J,9
4305,chemistry,"The equation for the burning of naphthalene is C_10H_8 (s) + 12O_2(g) \rightarrow1OCO_2 + 4H_2 O (l). For every mole of C_10H_8 burned, - 1226.7 Kcal is evolved at 25° in a fixed- volume combustion chamber. ∆H° for H_2O(l) = - 64.4 Kcal/mole and H_2O (g) = - 57.8 Kcal/mole. Calculate (a) the heat of reaction at constant temperature and (b) ∆H for the case where all of the H_2O is gaseous.","- 1200 Kcal/mole, - 1150 Kcal/mole","- 1250 Kcal/mole, - 1230 Kcal/mole","- 1227.9 Kcal/mole, - 1185.5 Kcal/mole","- 1226.7 Kcal/mole, - 1185.5 Kcal/mole","- 1300 Kcal/mole, - 1200 Kcal/mole","- 1235 Kcal/mole, - 1210 Kcal/mole","- 1226.7 Kcal/mole, - 1200 Kcal/mole","- 1190 Kcal/mole, - 1150 Kcal/mole","- 1227.9 Kcal/mole, - 1200 Kcal/mole","- 1280 Kcal/mole, - 1250 Kcal/mole",C,2
