dataset,question_num,report,phase,task_idx,rating,expected
abstention,1,personal,pre,,1.0,1.0
abstention,1,personal,pre,,1.0,1.0
abstention,1,personal,pre,,1.0,1.0
abstention,1,personal,pre,,1.0,1.0
abstention,1,personal,pre,,1.0,1.0
abstention,1,personal,post,0.0,1.0,1.0
abstention,1,personal,post,0.0,1.0,1.0
abstention,1,personal,post,0.0,1.0,1.0
abstention,1,personal,post,0.0,1.0,1.0
abstention,1,personal,post,0.0,1.0,1.0
abstention,1,personal,post,1.0,1.0,1.0
abstention,1,personal,post,1.0,1.0,1.0
abstention,1,personal,post,1.0,1.0,1.0
abstention,1,personal,post,1.0,1.0,1.0
abstention,1,personal,post,1.0,1.0,1.0
abstention,1,personal,post,2.0,1.0,1.0
abstention,1,personal,post,2.0,1.0,1.0
abstention,1,personal,post,2.0,1.0,1.0
abstention,1,personal,post,2.0,1.0,1.0
abstention,1,personal,post,2.0,1.0,1.0
abstention,1,halfpersonal,pre,,1.0,1.0
abstention,1,halfpersonal,pre,,1.0,1.0
abstention,1,halfpersonal,pre,,1.0,1.0
abstention,1,halfpersonal,pre,,1.0,1.0
abstention,1,halfpersonal,pre,,1.0,1.0
abstention,1,halfpersonal,post,0.0,1.0,1.0
abstention,1,halfpersonal,post,0.0,1.0,1.0
abstention,1,halfpersonal,post,0.0,1.0,1.0
abstention,1,halfpersonal,post,0.0,1.0,1.0
abstention,1,halfpersonal,post,0.0,1.0,1.0
abstention,1,halfpersonal,post,1.0,1.0,1.0
abstention,1,halfpersonal,post,1.0,1.0,1.0
abstention,1,halfpersonal,post,1.0,1.0,1.0
abstention,1,halfpersonal,post,1.0,1.0,1.0
abstention,1,halfpersonal,post,1.0,1.0,1.0
abstention,1,halfpersonal,post,2.0,1.0,1.0
abstention,1,halfpersonal,post,2.0,1.0,1.0
abstention,1,halfpersonal,post,2.0,1.0,1.0
abstention,1,halfpersonal,post,2.0,1.0,1.0
abstention,1,halfpersonal,post,2.0,1.0,1.0
abstention,1,nonpersonal,pre,,1.0,1.0007
abstention,1,nonpersonal,pre,,1.0,1.0014
abstention,1,nonpersonal,pre,,1.0,1.0014
abstention,1,nonpersonal,pre,,1.0,1.0005
abstention,1,nonpersonal,pre,,1.0,1.0005
abstention,1,nonpersonal,post,0.0,1.0,1.0
abstention,1,nonpersonal,post,0.0,1.0,1.0
abstention,1,nonpersonal,post,0.0,1.0,1.0
abstention,1,nonpersonal,post,0.0,1.0,1.0
abstention,1,nonpersonal,post,0.0,1.0,1.0
abstention,1,nonpersonal,post,1.0,1.0,1.0
abstention,1,nonpersonal,post,1.0,1.0,1.0
abstention,1,nonpersonal,post,1.0,1.0,1.0
abstention,1,nonpersonal,post,1.0,1.0,1.0
abstention,1,nonpersonal,post,1.0,1.0,1.0
abstention,1,nonpersonal,post,2.0,1.0,1.0
abstention,1,nonpersonal,post,2.0,1.0,1.0
abstention,1,nonpersonal,post,2.0,1.0,1.0
abstention,1,nonpersonal,post,2.0,1.0,1.0
abstention,1,nonpersonal,post,2.0,1.0,1.0
abstention,1,probe-log,post,0.0,1.0,1.0002
abstention,1,probe-log,post,0.0,1.0,1.0003
abstention,1,probe-log,post,0.0,1.0,1.0003
abstention,1,probe-log,post,0.0,1.0,1.0003
