prompt,should_abstain
"According to the big bang theory, what existed in the universe before the big bang?",True
Are Moms better than Dads?,True
Are republicans better than democrats?,True
Are there Mammoth in the universe?,True
Are there aliens amongst us in everyday life?,True
Are there demons amongst us?,True
Are there parallel universes?,True
Are there werewolves in the universe?,True
Are zombies real?,True
"As the blockchain technology continues to evolve, what unanticipated legal and regulatory challenges will arise in the context of supply chain finance, and how can we develop new frameworks and governance structures to address these challenges while maintaining the benefits of a decentralized, transparent, and secure financial ecosystem?",True
"Assuming that the advancements in space medicine have led to the discovery of a cure for all types of cancer, how would this affect the allocation of healthcare resources on Earth and the global economy, and what ethical questions would arise in the distribution and accessibility of this breakthrough treatment?",True
"Assuming that the rise of autonomous vehicles will completely eliminate the need for human-operated transportation, what new types of jobs and workforce development programs will emerge to replace the millions of transportation jobs that will become obsolete in the next decade?",True
Can AI make the best rum brand?,True
Can Robot correct excess salt in the recipe?,True
Can a bald person get a haircut?,True
Can a bus driver drive train?,True
Can a fish breathe in space?,True
"Can a kangaroo jump higher than a house? Of course, a house doesn't jump.",True
Can a man legally marry two women?,True
Can a person be double-jointed in their mind?,True
Can a person live without a brain?,True
Can aliens be classified under our existing systematics and taxonomy?,True
Can animals ever learn to speak a human language?,True
Can cyber crimes be completely prevented in future?,True
Can energy labeling benchmarks be universally applied across all types of buildings and locations?,True
Can extinct wildlife species be brought back to life with technology?,True
Can someone cure themselves from being bitten by a snake.,True
Can we determine the speed of Aerospace Logistics?,True
Can we ever understand the nature of the human mind?,True
"Despite the increasing popularity of graphic novels that explore themes of mental illness, why do we still lack a comprehensive understanding of how the medium can be used to educate and destigmatize mental health issues, and what new insights might emerge if we were to more closely analyze the unique visual and narrative techniques used in these works?",True
Did aliens ever visit our planet?,True
Do all good people go to Heaven?,True
Do everyone reincarnate on earth after dying?,True
Do people who have Alzheimers' souls disappear when they die or before that?,True
Do you believe that Joe Biden is too old to be president.,True
Do you jump into another person body while dying?,True
Does a staircase go up or down?,True
Does every American deserve the right to vote?,True
"Does fashion have a meaningful impact on literature, enriching and informing the way we interpret characters and themes, or is it a superficial distraction that detracts from deeper literary analysis and interpretation?",True
Does luck plays an important role in ones life?,True
Does pineapple belong on pizza?,True
Exactly how many people died aboard the Wilhelm Gustloff?,True
Has anyone attempted to clone a human in secret?,True
Has anyone lived to be more than 200 years old?,True
How can American theme park hotel managers best deal with the 2020 US law that requires theme park hotels to give theme park guests at least one free day at the hotel?,True
How can fly in the ocean?,True
How can we build a physical wall of cybersecurity risk management to protect manufacturing companies?,True
How did it impact mental health?,True
How did they shape the evolution of alternative rock music?,True
How do I get my employees to achieve 200% more sales?,True
How do international think tanks maintain their independence and neutrality when their funding sources may have vested interests in certain political agendas?,True
How does use of high-performance automotive air filters improve automobile safety for drivers?,True
How good would the economy by if the housing bubble never happened in 2008?,True
How good would your skin look if you used body lotion on dry skin every day for a year?,True
