dataset,question_num,report,phase,task_idx,rating,expected
abstention,10,halfpersonal,pre,,7.0,1.0
abstention,10,halfpersonal,pre,,7.0,1.0
abstention,10,halfpersonal,pre,,7.0,1.0
abstention,10,halfpersonal,pre,,7.0,1.0
abstention,10,nonpersonal,pre,,8.0,1.0
abstention,10,nonpersonal,pre,,8.0,1.0
abstention,10,nonpersonal,pre,,8.0,1.0
abstention,10,nonpersonal,pre,,8.0,1.0
abstention,10,probe-log-inline,post,2.0,1.0,1.0
abstention,2,probe-log,post,1.0,7.0,2.0
abstention,2,probe-log,post,1.0,7.0,2.0
abstention,3,personal,pre,,7.0,2.0
abstention,3,probe-log,post,0.0,7.0,2.0
abstention,3,probe-log,post,0.0,7.0,2.0
abstention,3,probe-log,post,0.0,7.0,2.0
abstention,3,probe-log,post,0.0,7.0,2.0
abstention,3,probe-log,post,0.0,7.0,2.0
abstention,3,probe-log,post,1.0,7.0,2.0
abstention,3,probe-log,post,1.0,7.0,2.0
abstention,3,probe-log,post,1.0,7.0,2.0
abstention,3,probe-log,post,2.0,7.0,2.0
abstention,3,probe-log,post,2.0,7.0,2.0
abstention,3,probe-log,post,2.0,7.0,2.0
abstention,3,probe-log,post,2.0,7.0,2.0
abstention,3,probe-log,post,2.0,7.0,2.0
abstention,4,personal,pre,,7.0,4.0
abstention,4,personal,pre,,7.0,4.0
abstention,4,personal,pre,,6.0,4.0
abstention,4,halfpersonal,pre,,7.0,4.0
abstention,5,probe-log-inline,post,1.0,1.0,1.0
abstention,5,probe-log-inline,post,2.0,1.0,1.0
abstention,6,halfpersonal,pre,,7.0,1.0
abstention,6,halfpersonal,pre,,7.0,1.0
abstention,6,halfpersonal,pre,,7.0,1.0
abstention,6,halfpersonal,pre,,7.0,1.0
abstention,6,halfpersonal,pre,,7.0,1.0
abstention,7,personal,pre,,7.0,1.0
abstention,7,personal,pre,,6.0,1.0
abstention,7,personal,pre,,7.0,1.0
abstention,7,personal,pre,,7.0,1.0
abstention,7,personal,pre,,6.0,1.0
abstention,7,halfpersonal,pre,,7.0,1.0
abstention,7,halfpersonal,pre,,7.0,1.0
abstention,7,halfpersonal,pre,,7.0,1.0
abstention,7,halfpersonal,pre,,7.0,1.0
abstention,7,halfpersonal,pre,,7.0,1.0
abstention,7,nonpersonal,pre,,7.0,1.0
abstention,7,nonpersonal,pre,,7.0,1.0
abstention,8,probe-log,post,1.0,,7.0
abstention_answerable,1,personal,pre,,2.0,3.0
abstention_answerable,1,halfpersonal,pre,,2.0,3.0
abstention_answerable,1,halfpersonal,pre,,2.0,3.0
abstention_answerable,1,halfpersonal,pre,,2.0,3.0
abstention_answerable,1,probe-log-inline,post,0.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,0.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,0.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,0.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,1.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,1.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,1.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,1.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,2.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,2.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,2.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,2.0,1.0,9.0
abstention_answerable,1,probe-log-inline,post,2.0,1.0,9.0
abstention_answerable,10,personal,pre,,3.0,1.0
abstention_answerable,10,halfpersonal,pre,,3.0,1.0
abstention_answerable,10,nonpersonal,pre,,3.0,1.0
abstention_answerable,10,nonpersonal,pre,,3.0,1.0
abstention_answerable,2,personal,pre,,2.0,2.001
abstention_answerable,2,personal,pre,,2.0,2.0023
abstention_answerable,2,personal,pre,,2.0,2.0029
abstention_answerable,2,personal,pre,,2.0,2.0023
abstention_answerable,2,personal,pre,,2.0,2.0049
abstention_answerable,2,nonpersonal,pre,,7.0,6.9771
abstention_answerable,2,nonpersonal,pre,,7.0,6.9399
abstention_answerable,2,nonpersonal,pre,,7.0,6.971
abstention_answerable,2,nonpersonal,pre,,7.0,6.971
abstention_answerable,2,nonpersonal,pre,,7.0,6.971
